Key,en,en-GB,de,el,es,fr,hr,id,it,ja,ko,ms,nl,pt-PT,th,vi,zh-Hans,zh-Hant,狀態/判斷
Result,Result,Result,Ergebnis,Αποτέλεσμα,Resultado,Résultat,Rezultat,Hasil,Risultato,結果,결과,Hasil,Resultaat,Resultado,ผลลัพธ์,Kết quả,结果,結果,OK
Rough,Rough,Rough,Rau,Ταραγμένη,Agitado,Agité,Valovito,Berombak,Agitato,荒れ,파도 높음,Berombak,Ruw,Agitado,คลื่นแรง,Biển động,大浪,大浪,OK
S63 (8.6L),,,,,,,,,,,,,,,,,,,保留原文(單位/型號/App名)
S80 (12L),,,,,,,,,,,,,,,,,,,保留原文(單位/型號/App名)
Safety Stop,Safety Stop,Safety Stop,Sicherheitshalt,Ασφαλή στάση,Parada de seguridad,Arrêt de sécurité,Sigurnosni stoj,Perhentian keselamatan,Sosta di sicurezza,セーフティストップ,안전 스톱,Perhentian keselamatan,Veiligheid stop,Paragem de segurança,หยุดความปลอดภัย,Dừng an toàn,安全停留,安全停留,OK
Save,Save,Save,Sichern,Αποθήκευση,Guardar,Enregistrer,Spremi,Simpan,Salva,保存,저장,Simpan,Bewaar,Guardar,บันทึก,Lưu,存储,儲存,OK
Scanning files,Scanning files,Scanning files,Dateien werden gescannt,Σάρωση αρχείων,Escaneando archivos,Analyse des fichiers,Skeniranje datoteka,Memindai file,Scansione file in corso,ファイルをスキャン中,파일 스캔 중,Mengimbas fail,Bestanden scannen,A digitalizar ficheiros,กำลังสแกนไฟล์,Đang quét tệp,正在扫描文件,正在掃描檔案,OK
Scanning files…,Scanning files…,Scanning files…,Dateien werden gescannt…,Σάρωση αρχείων…,Escaneando archivos…,Analyse des fichiers…,Skeniranje datoteka…,Memindai file…,Scansione file in corso…,ファイルをスキャン中…,파일 스캔 중…,Mengimbas fail…,Bestanden scannen…,A digitalizar ficheiros…,กำลังสแกนไฟล์…,Đang quét tệp…,正在扫描文件…,正在掃描檔案…,OK
Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,Seabear CSV,OK
Search location…,Search location…,Search location…,Ort suchen…,Αναζήτηση τοποθεσίας…,Buscar ubicación…,Rechercher un lieu…,Pretraži lokaciju…,Cari lokasi…,Cerca posizione…,場所を検索…,위치 검색…,Cari lokasi…,Zoek locatie…,Pesquisar localização…,ค้นหาสถานที่…,Tìm kiếm địa điểm…,搜索地点…,搜尋地點…,OK
Seawater,Seawater,Seawater,Meerwasser,Θαλασσινό νερό,Agua de mar,Eau de mer,Morska voda,Air Laut,Acqua di mare,海水,해수,Air Laut,Zeewater,Água salgada,น้ำทะเล,Nước biển,海水,海水,OK
Select,Select,Select,Auswählen,Επιλογή,Seleccionar,Sélectionner,Odaberite,Pilih,Seleziona,選択,선택,Pilih,Selecteer,Selecionar,เลือก,Chọn,选取,選取,OK
Select File,Select File,Select File,Datei auswählen,Επιλογή αρχείου,Seleccionar archivo,Sélectionner un fichier,Odaberi datoteku,Pilih File,Seleziona file,ファイルを選択,파일 선택,Pilih Fail,Selecteer bestand,Selecionar ficheiro,เลือกไฟล์,Chọn tệp,选取文件,選取檔案,OK
Select Files or Folder,Select Files or Folder,Select Files or Folder,Dateien oder Ordner auswählen,Επιλέξτε αρχεία ή φάκελο,Seleccionar archivos o carpeta,Sélectionner des fichiers ou dossier,Odaberite datoteke ili mapu,Pilih File atau Folder,Seleziona file o cartella,ファイルまたはフォルダを選択,파일 또는 폴더 선택,Pilih Fail atau Folder,Bestanden of map selecteren,Selecionar ficheiros ou pasta,เลือกไฟล์หรือโฟลเดอร์,Chọn tệp hoặc thư mục,选取文件或文件夹,選取檔案或資料夾,OK
Select a date to see dives.,Select a date to see dives.,Select a date to see dives.,"Wählen Sie ein Datum, um Tauchgänge anzuzeigen.",Επιλέξτε ημερομηνία για να δείτε καταδύσεις.,Selecciona una fecha para ver las inmersiones.,Sélectionnez une date pour voir les plongées.,Odaberite datum za prikaz urona.,Pilih tanggal untuk melihat penyelaman.,Seleziona una data per vedere le immersioni.,日付を選択してダイビングを表示します。,다이빙을 보려면 날짜를 선택하세요.,Pilih tarikh untuk melihat selam.,Selecteer een datum om duiken te bekijken.,Selecione uma data ver os mergulhos.,เลือกวันที่เพื่อดูไดฟ์,Chọn một ngày để xem các chuyến lặn.,选取日期以查看潜水记录。,選取日期以查看潛水紀錄。,OK
Select a date with dives from the calendar to view details.,Select a date with dives from the calendar to view details.,Select a date with dives from the calendar to view details.,"Wählen Sie ein Datum mit Tauchgängen aus dem Kalender aus, um Details anzuzeigen.",Επιλέξτε μια ημερομηνία με καταδύσεις από το ημερολόγιο για να δείτε λεπτομέρειες.,Selecciona una fecha con inmersiones en el calendario para ver los detalles.,Sélectionnez une date avec des plongées dans le calendrier pour voir les détails.,Odaberite datum s uronima iz kalendara za prikaz detalja.,Pilih tanggal dengan penyelaman dari kalender untuk melihat detail.,Seleziona una data con immersioni dal calendario per visualizzare i dettagli.,カレンダーからダイビングのある日付を選択して詳細を表示します。,상세 정보를 보려면 달력에서 다이빙이 있는 날짜를 선택하세요.,Pilih tarikh dengan selam daripada kalendar untuk melihat butiran.,Selecteer een datum met duiken in de kalender om details te bekijken.,Selecione uma data com mergulhos no calendário para ver os detalhes.,เลือกวันที่ที่มีไดฟ์จากปฏิทินเพื่อดูรายละเอียด,Chọn một ngày có các chuyến lặn từ lịch để xem chi tiết.,从日历中选取有潜水记录的日期以查看详情。,從日曆中選取有潛水紀錄的日期以查看詳情。,OK
Select a dive from the list to view details.,Select a dive from the list to view details.,Select a dive from the list to view details.,"Wählen Sie einen Tauchgang aus der Liste, um Details anzuzeigen.",Επιλέξτε μια κατάδυση από τη λίστα για να δείτε λεπτομέρειες.,Seleccione una inmersión de la lista para ver los detalles.,Sélectionnez une plongée dans la liste pour voir les détails.,Odaberite uron s popisa za prikaz detalja.,Pilih penyelaman dari daftar untuk melihat detail.,Seleziona un'immersione dall'elenco per visualizzare i dettagli.,リストからダイビングを選択して詳細を表示します。,목록에서 다이빙을 선택하여 상세 정보를 확인하세요.,Pilih selam dari senarai untuk melihat butiran.,Selecteer een duik uit de lijst om details te bekijken.,Selecione um mergulho da lista para ver os detalhes.,เลือกไดฟ์จากรายการเพื่อดูรายละเอียด,Chọn một chuyến lặn từ danh sách để xem chi tiết.,从列表中选取潜水日志以查看详情。,從列表中選取潛水日誌以查看詳情。,OK
Select year and month,Select year and month,Select year and month,Jahr und Monat auswählen,Επιλέξτε έτος και μήνα,Seleccionar año y mes,Sélectionner l'année et le mois,Odaberite godinu i mjesec,Pilih tahun dan bulan,Seleziona anno e mese,年と月を選択,연도 및 월 선택,Pilih tahun dan bulan,Selecteer jaar en maand,Selecionar ano e mês,เลือกปีและเดือน,Chọn năm và tháng,选取年份和月份,選取年份和月份,OK
Settings,Settings,Settings,Einstellungen,Ρυθμίσεις,Ajustes,Réglages,Postavke,Pengaturan,Impostazioni,設定,설정,Tetapan,Instellingen,Definições,การตั้งค่า,Cài đặt,设置,設定,OK
Settings coming soon,Settings coming soon,Settings coming soon,Einstellungen demnächst verfügbar,Οι ρυθμίσεις έρχονται σύντομα,Ajustes próximamente,Réglages bientôt disponibles,Postavke stižu uskoro,Pengaturan segera hadir,Impostazioni in arrivo,設定機能は近日公開予定,설정 곧 출시 예정,Tetapan akan datang,Instellingen binnenkort beschikbaar,Definições em breve,การตั้งค่าเร็ว ๆ นี้,Cài đặt sắp ra mắt,设置即将推出,設定即將推出,OK
Share File,Share File,Share File,Datei teilen,Κοινοποίηση αρχείου,Compartir archivo,Partager le fichier,Podijeli datoteku,Bagikan File,Condividi file,ファイルを共有,파일 공유,Kongsi Fail,Deel bestand,Partilhar ficheiro,แชร์ไฟล์,Chia sẻ tệp,发送文件,分享檔案,OK
Slack,Slack,Slack,Stillwasser,Στάση παλίρροιας,Marea muerta,Étale,Mrtva mijena,Air tenang,Stanca di marea,平潮,정조,Air tenang,Doodtij,Estofo,น้ำนิ่ง,Nước đứng,平潮,平潮,OK
Slight,Slight,Slight,Leichter Wellengang,Ήρεμη,Poco agitada,Calme,Mirno,Tenang,Poco mosso,穏やか,잔잔함,Tenang,Kalm,Pouco agitado,คลื่นเล็กน้อย,Biển êm,微浪,微浪,OK
Source Format,Source Format,Source Format,Quellformat,Μορφή προέλευσης,Formato de origen,Format source,Izvorni format,Format Sumber,Formato sorgente,ソース形式,소스 형식,Format Sumber,Bronformaat,Formato de origem,รูปแบบแหล่งที่มา,Định dạng nguồn,来源格式,來源格式,OK
Start Pressure,Start Pressure,Start Pressure,Startdruck,Πίεση έναρξης,Presión de inicio,Pression de démarrage,Početni tlak,Tekanan awal,Pressione iniziale,開始圧力,시작 압력,Tekanan awal,Startdruk,Pressão inicial,ความดันเริ่มต้น,Áp lực bắt đầu,起始压力,起始壓力,OK
Start Pressure: %.0f bar,Start Pressure: %.0f bar,Start Pressure: %.0f bar,Startdruck: %.0f bar,Πίεση έναρξης: %.0f bar,Presión inicial: %.0f bar,Pression initiale : %.0f bar,Početni tlak: %.0f bar,Tekanan awal: %.0f bar,Pressione iniziale: %.0f bar,開始圧力：%.0f bar,시작 압력: %.0f bar,Tekanan awal: %.0f bar,Startdruk: %.0f bar,Pressão inicial: %.0f bar,ความดันเริ่มต้น: %.0f bar,Áp lực bắt đầu: %.0f bar,起始压力：%.0f bar,起始壓力：%.0f bar,OK
Steel,Steel,Steel,Stahl,Χάλυβας,Acero,Acier,Čelik,Baja,Acciaio,鋼,강철,Baja,Staal,Aço,เหล็ก,Thép,钢,鋼,OK
Strong,Strong,Strong,Starke Strömung,Ισχυρό,Fuerte,Fort,Jako,Kuat,Forte,強流,강한 조류,Kuat,Sterk,Forte,แข็งแรง,Mạnh mẽ,强流,強流,OK
Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,Subsurface CSV,OK
Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,Subsurface XML,OK
Sunny,Sunny,Sunny,Sonnig,Ηλιόλουστα,Soleado,Ensoleillé,Sunčano,Cerah,Soleggiato,晴れ,맑음,Cerah,Zonnig,Ensolarado,แดด,Nắng đẹp,晴朗,晴朗,OK
Supported Formats,Supported Formats,Supported Formats,Unterstützte Formate,Υποστηριζόμενες μορφές,Formatos compatibles,Formats pris en charge,Podržani formati,Format yang Didukung,Formati supportati,対応形式,지원 형식,Format Disokong,Ondersteunde formaten,Formatos suportados,รูปแบบที่รองรับ,Định dạng hỗ trợ,支持格式,支援格式,OK
Surface,Surface,Surface,Oberfläche,Επιφάνεια,Superficie,Surface,Površina,Permukaan,Superficie,水面,수면,Permukaan,Oppervlakte,Superfície,ผิวน้ำ,Bề mặt,水面,水面,OK
Surface Condition,Surface Condition,Surface Condition,Oberflächenzustand,Κατάσταση επιφάνειας,Condición de la superficie,État de la surface,Stanje površine,Kondisi permukaan,Condizione della superficie,水面状態,수면 상태,Keadaan permukaan,Oppervlaktetoestand,Condição da superfície,สภาพผิวน้ำ,Điều kiện bề mặt,水面状况,水面狀況,OK
Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,Suunto JSON,OK
Switch to Calendar View,Switch to Calendar View,Switch to Calendar View,Zur Kalenderansicht wechseln,Αλλαγή σε προβολή ημερολογίου,Cambiar a vista de calendario,Passer à la vue calendrier,Prebaci na prikaz kalendara,Beralih ke Tampilan Kalender,Passa alla vista calendario,カレンダービューに切り替え,달력 뷰로 전환,Tukar ke Paparan Kalendar,Schakel over naar kalenderweergave,Mudar para Vista de Calendário,เปลี่ยนเป็นมุมมองปฏิทิน,Chuyển sang giao diện lịch,切换至日历视图,切換至日曆檢視,OK
Switch to Hybrid Map,Switch to Hybrid Map,Switch to Hybrid Map,Zur Satellitenkarte wechseln,Αλλαγή σε υβριδικό χάρτη,Cambiar a mapa híbrido,Passer à la carte hybride,Prebaci na hibridnu kartu,Beralih ke Peta Hibrid,Passa alla mappa ibrida,ハイブリッドマップに切り替え,하이브리드 지도로 전환,Tukar ke Peta Hibrid,Schakel over naar hybride kaart,Mudar para Mapa Híbrido,เปลี่ยนเป็นแผนที่ไฮบริด,Chuyển sang bản đồ hỗn hợp,切换至卫星混合地图,切換至衛星混合地圖,OK
Switch to List View,Switch to List View,Switch to List View,Zur Listenansicht wechseln,Αλλαγή σε προβολή λίστας,Cambiar a vista de lista,Passer à la vue liste,Prebaci na prikaz popisa,Beralih ke Tampilan Daftar,Passa alla vista elenco,リストビューに切り替え,목록 뷰로 전환,Tukar ke Paparan Senarai,Schakel over naar lijstweergave,Mudar para Vista de Lista,เปลี่ยนเป็นมุมมองรายการ,Chuyển sang giao diện danh sách,切换至列表视图,切換至清單檢視,OK
Switch to Standard Map,Switch to Standard Map,Switch to Standard Map,Zur Standardkarte wechseln,Αλλαγή σε τυπικό χάρτη,Cambiar a mapa estándar,Passer à la carte standard,Prebaci na standardnu kartu,Beralih ke Peta Standar,Passa alla mappa standard,標準マップに切り替え,표준 지도로 전환,Tukar ke Peta Standard,Schakel over naar standaardkaart,Mudar para Mapa Padrão,เปลี่ยนเป็นแผนที่มาตรฐาน,Chuyển sang bản đồ tiêu chuẩn,切换至标准地图,切換至標準地圖,OK
System Settings,System Settings,System Settings,Systemeinstellungen,Ρυθμίσεις συστήματος,Ajustes del sistema,Réglages Système,Postavke sustava,Pengaturan Sistem,Impostazioni di Sistema,システム設定,시스템 설정,Tetapan Sistem,Systeeminstellingen,Definições do Sistema,การตั้งค่าระบบ,Cài đặt hệ thống,系统设置,系統設定,OK
This action cannot be undone.,This action cannot be undone.,This action cannot be undone.,Diese Aktion kann nicht rückgängig gemacht werden.,Αυτή η ενέργεια δεν μπορεί να αναιρεθεί.,Esta acción no se puede deshacer.,Cette action ne peut pas être annulée.,Ova radnja se ne može poništiti.,Tindakan ini tidak dapat dibatalkan.,Questa azione non può essere annullata.,この操作は取り消せません。,이 작업은 취소할 수 없습니다.,Tindakan ini tidak boleh dibatalkan.,Deze actie kan niet ongedaan worden gemaakt.,Esta ação não pode ser desfeita.,การดำเนินการนี้ไม่สามารถย้อนกลับได้,Hành động này không thể hoàn tác.,此操作无法撤销。,此操作無法復原。,OK
Tide State,Tide State,Tide State,Gezeitenstand,Κατάσταση παλιρροίας,Estado de la marea,État de la marée,Stanje plime,Keadaan pasang surut,Stato della marea,潮汐状態,조석 상태,Keadaan pasang surut,Getijdentoestand,Estado da maré,สภาพน้ำขึ้นน้ำลง,Trạng thái thủy triều,潮汐状态,潮汐狀態,OK
Time,Time,Time,Zeit,Ώρα,Hora,Heure,Vrijeme,Waktu,Ora,時刻,시간,Masa,Tijd,Hora,เวลา,Thời gian,时间,時間,OK
Total Time,Total Time,Total Time,Gesamtzeit,Συνολικός χρόνος,Tiempo total,Temps total,Ukupno vrijeme,Total Waktu,Tempo totale,合計時間,총 시간,Jumlah Masa,Totale tijd,Tempo total,เวลาทั้งหมด,Tổng thời gian,总时间,總時間,OK
Trimix,Trimix,Trimix,Trimix,Trimix,Trimix,Trimix,Trimix,Trimix,Trimix,Trimix,Trimix,Trimix,Trimix,Trimix,Trimix,Trimix,混合气体,混合氣體,OK
Try Again,Try Again,Try Again,Erneut versuchen,Δοκιμάστε ξανά,Reintentar,Réessayer,Pokušaj ponovno,Coba Lagi,Riprova,もう一度お試しください,다시 시도,Cuba Lagi,Probeer opnieuw,Tentar novamente,ลองอีกครั้ง,Thử lại,重试,重試,OK
Unknown Location,Unknown Location,Unknown Location,Unbekannter Ort,Άγνωστη τοποθεσία,Ubicación desconocida,Lieu inconnu,Nepoznata lokacija,Lokasi Tidak Diketahui,Posizione sconosciuta,場所不明,알 수 없는 위치,Lokasi Tidak Diketahui,Onbekende locatie,Localização desconhecida,ไม่ทราบสถานที่,Địa điểm không xác định,未知地点,未知地點,OK
Unlock for %@,Unlock for %@,Unlock for %@,Freischalten für %@,Ξεκλείδωμα για %@,Desbloquear por %@,Déverrouiller pour %@,Otključaj za %@,Buka kunci seharga %@,Sblocca per %@,%@でロック解除,%@으로 잠금 해제,Buka kunci dengan %@,Ontgrendel voor %@,Desbloquear por %@,ปลดล็อกในราคา %@,Mở khóa với giá %@,以 %@ 解锁,以 %@ 解鎖,OK
Use the Import tab to add your dive computer logs.,Use the Import tab to add your dive computer logs.,Use the Import tab to add your dive computer logs.,"Verwenden Sie den Import-Tab, um Ihre Tauchcomputer-Logbücher hinzuzufügen.",Χρησιμοποιήστε την καρτέλα Εισαγωγή για να προσθέσετε καταγραφές από το καταδυτικό σας κομπιούτερ.,Usa la pestaña Importar para añadir los diarios de tu ordenador de buceo.,Utilisez l'onglet Importer pour ajouter les carnets de votre ordinateur.,Upotrijebite karticu Uvoz za dodavanje zapisa s ronilačkog računala.,Gunakan tab Impor untuk menambahkan logbook komputer selam Anda.,Usa la scheda Importa per aggiungere i registri del tuo computer subacqueo.,「取り込み」タブからダイビングコンピューターのログを追加してください。,가져오기 탭을 사용하여 다이빙 컴퓨터 로그를 추가하세요.,Gunakan tab Import untuk menambah log komputer selam anda.,Gebruik het tabblad Importeer om de logboeken van je duikcomputer toe te voegen.,Utilize o separador Importar para adicionar os registos do seu computador de mergulho.,ใช้แท็บนำเข้าเพื่อเพิ่มบันทึกจากคอมพิวเตอร์ดำน้ำของคุณ,Sử dụng tab Nhập để thêm nhật ký máy tính lặn của bạn.,前往「导入」标签页添加潜水电脑日志。,前往「匯入」標籤頁來新增潛水電腦日誌。,OK
Version,Version,Version,Version,Έκδοση,Versión,Version,Verzija,Versi,Versione,バージョン,버전,Versi,Versie,Versão,เวอร์ชัน,Phiên bản,版本,版本,OK
Version %@,Version %@,Version %1$@,Version %1$@,Έκδοση %1$@,Versión %1$@,Version %1$@,Verzija %1$@,Versi %1$@,Versione %1$@,バージョン %1$@,버전 %1$@,Versi %1$@,Versie %1$@,Versão %1$@,เวอร์ชัน %1$@,Phiên bản %1$@,版本 %1$@,版本 %1$@,OK
Visibility,Visibility,Visibility,Sichtweite,Ορατότητα,Visibilidad,Visibilité,Vidljivost,Visibilitas,Visibilità,能見度,가시거리,Visibilitas,Zicht,Visibilidade,ระดับความเห็น,Khả năng nhìn thấy,能见度,能見度,OK
Visibility: %.1f metres,Visibility: %.1f m,Visibility: %.1f m,Sicht: %.1f m,Ορατότητα: %.1f m,Visibilidad: %.1f m,Visibilité : %.1f m,Vidljivost: %.1f m,Jarak pandang: %.1f m,Visibilità: %.1f m,透明度：%.1f m,시야: %.1f m,Jarak penglihatan: %.1f m,Zicht: %.1f m,Visibilidade: %.1f m,ทัศนวิสัย: %.1f ม.,Tầm nhìn: %.1f m,能见度：%.1f m,能見度：%.1f m,OK
Water Flow,Water Flow,Water Flow,Wasserströmung,Ροή νερού,Corriente de agua,Courant d'eau,Vodena struja,Arus air,Corrente d'acqua,水流,수류,Arus air,Waterstroom,Corrente de água,กระแสน้ำ,Dòng nước,水流,水流,OK
Water Temp,Water Temp,Water Temp,Wassertemp.,Θερμ. νερού,Temp. agua,Temp. eau,Temp. vode,Suhu Air,Temp. acqua,水温,수온,Suhu Air,Watertemp.,Temp. água,อุณหภูมิน้ำ,Nhiệt độ nước,水温,水溫,OK
Water Temperature: %.1f degrees Celsius,Water Temperature: %.1f °C,Water Temperature: %.1f °C,Wassertemperatur: %.1f °C,Θερμοκρασία νερού: %.1f °C,Temperatura del agua: %.1f °C,Température de l'eau : %.1f °C,Temperatura vode: %.1f Celzijevih stupnjeva,Suhu Air: %.1f °C,Temperatura dell'acqua: %.1f °C,水温：%.1f °C,수온: %.1f도,Suhu Air: %.1f °C,Watertemperatuur: %.1f °C,Temperatura da água: %.1f °C,อุณหภูมิน้ำ: %.1f °C,Nhiệt độ nước: %.1f °C,水温：%.1f °C,水溫：%.1f °C,OK
Water Type,Water Type,Water Type,Wasserart,Τύπος νερού,Tipo de agua,Type d'eau,Vrsta vode,Jenis Air,Tipo di acqua,水の種類,수질 유형,Jenis Air,Watertype,Tipo de água,ประเภทน้ำ,Loại nước,水域类型,水域類型,OK
Weather,Weather,Weather,Wetter,Καιρός,Clima,Météo,Vrijeme,Cuaca,Tempo,天気,날씨,Cuaca,Weer,Tempo,สภาพอากาศ,Thời tiết,天气,天氣,OK
Weight,Weight,Weight,Gewicht,Βάρος,Peso,Poids,Težina,Berat,Peso,ウェイト,무게,Berat,Gewicht,Peso,น้ำหนัก,Trọng lượng,配重,配重,OK
Weight Total,Weight Total,Weight Total,Gesamtblei,Συνολικό βάρος,Lastro total,Lest total,Ukupno olovo,Total Pemberat,Zavorra totale,総ウエイト,총 웨이트,Total Pemberat,Totaal lood,Lastro total,น้ำหนักตะกั่วรวม,Tổng chì,总配重,總配重,OK
Weight: %.1f kilograms,Weight: %.1f kilograms,Weight: %.1f kilograms,Bleigewicht: %.1f kg,Βάρος: %.1f κιλά,Lastre: %.1f kg,Lest : %.1f kg,Olovo: %.1f kg,Pemberat: %.1f kg,Zavorra: %.1f kg,ウエイト：%.1f kg,웨이트: %.1f kg,Pemberat: %.1f kg,Lood: %.1f kg,Lastro: %.1f kg,น้ำหนักตะกั่ว: %.1f กิโลกรัม,Trọng lượng chì: %.1f kg,配重：%.1f 公斤,配重：%.1f 公斤,OK
Wetsuit,Wetsuit,Wetsuit,Neoprenanzug,Κοστούμι,Traje de neopreno,Combinaison,Neopreni,Pakaian Menyelam,Muta,ウェットスーツ,잠수복,Pakaian Menyelam,Duikpak,Fato de mergulho,ชุดดำน้ำ,Bộ đồ lặn,濕衣,防寒衣,OK
Wetsuit Thickness,Wetsuit Thickness,Wetsuit Thickness,Neoprendicke,Πάχος κοστουμιού,Grosor del traje,Épaisseur de la combinaison,Debljina neoprenske odjeće,Ketebalan wetsuit,Spessore della muta,ウェットスーツの厚さ,웨트슈트 두께,Ketebalan wetsuit,Dikte van het pak,Espessura do fato,ความหนาของชุดลำน้ำ,Độ dày của bộ đồ,潜水服厚度,防寒衣厚度,OK
Year,Year,Year,Jahr,Έτος,Año,Année,Godina,Tahun,Anno,年,년,Tahun,Jaar,Ano,ปี,Năm,年,年,OK
bar,,,,,,,,,,,,,,,,,,,保留原文(單位/型號/App名)
iOS Settings,iOS Settings,iOS Settings,iOS-Einstellungen,Ρυθμίσεις iOS,Ajustes de iOS,Réglages iOS,iOS postavke,Pengaturan iOS,Impostazioni iOS,iOSの設定,iOS 설정,Tetapan iOS,iOS-instellingen,Definições do iOS,การตั้งค่า iOS,Cài đặt iOS,iOS 设置,iOS 設定,OK
kg,,,,,,,,,,,,,,,,,,,保留原文(單位/型號/App名)
m,m,m,m,μ.,m,m,m,m,m,m,m,m,m,m,ม.,m,m,m,OK
min,min,min,min,min,min,min,min,min,min,分,분,min,min,min,นาที,phút,分钟,分鐘,OK
mm,,,,,,,,,,,,,,,,,,,保留原文(單位/型號/App名)
°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,OK
