Key (原文),使用情境,en,en-GB,zh-Hant,zh-Hans,ja,ko,de,fr,es,it,nl,pt-PT,el,hr,id,ms,th,vi
Language changes take effect right away. Some system-provided panels may still use the device language until you reopen the app.,出現於：SettingsView.swift（無額外註解，請對照原始碼判斷情境）,Language changes take effect right away. Some system-provided panels may still use the device language until you reopen the app.,Language changes take effect right away. Some system-provided panels may still use the device language until you reopen the app.,語言變更會立即生效。部分系統提供的面板在您重新開啟 App 前可能仍會使用裝置語言。,语言变更会立即生效。部分系统提供的面板在您重新开启 App 前可能仍会使用装置语言。,言語の変更はすぐに反映されます。一部のシステム提供パネルは、アプリを再度開くまで端末の言語のままになる場合があります。,언어 변경은 즉시 적용됩니다. 일부 시스템 제공 패널은 앱을 다시 열 때까지 기기 언어를 계속 사용할 수 있습니다.,Sprachänderungen wirken sofort. Manche vom System bereitgestellten Ansichten verwenden bis zum nächsten App-Start weiterhin die Gerätesprache.,Les changements de langue prennent effet immédiatement. Certains panneaux fournis par le système peuvent continuer à utiliser la langue de l'appareil jusqu'à ce que vous rouvriez l'application.,Los cambios de idioma se aplican de inmediato. Algunos paneles del sistema pueden seguir usando el idioma del dispositivo hasta que vuelvas a abrir la aplicación.,Le modifiche alla lingua hanno effetto immediato. Alcuni pannelli di sistema potrebbero continuare a usare la lingua del dispositivo finché non riapri l'app.,Taalwijzigingen worden meteen toegepast. Sommige systeempanelen gebruiken mogelijk nog de apparaattaal totdat je de app opnieuw opent.,As alterações de idioma têm efeito imediato. Alguns painéis do sistema podem continuar a usar o idioma do dispositivo até reabrir a aplicação.,Οι αλλαγές γλώσσας ισχύουν αμέσως. Ορισμένα παράθυρα του συστήματος ενδέχεται να συνεχίσουν να χρησιμοποιούν τη γλώσσα της συσκευής μέχρι να ανοίξετε ξανά την εφαρμογή.,Promjene jezika stupaju na snagu odmah. Neki sustavski prozori mogu i dalje koristiti jezik uređaja dok ponovno ne otvorite aplikaciju.,Perubahan bahasa langsung berlaku. Beberapa panel bawaan sistem mungkin masih menggunakan bahasa perangkat hingga Anda membuka ulang aplikasi.,Perubahan bahasa berkuat kuasa serta-merta. Sesetengah panel sistem mungkin masih menggunakan bahasa peranti sehingga anda membuka semula aplikasi.,การเปลี่ยนภาษาจะมีผลทันที บางแผงที่มาจากระบบอาจยังคงใช้ภาษาของอุปกรณ์จนกว่าคุณจะเปิดแอปอีกครั้ง,Thay đổi ngôn ngữ có hiệu lực ngay lập tức. Một số bảng điều khiển của hệ thống có thể vẫn dùng ngôn ngữ thiết bị cho đến khi bạn mở lại ứng dụng.
"Language, appearance, and preferences will be available in a future update.",Settings placeholder description,"Language, appearance, and preferences will be available in a future update.","Language, appearance, and preferences will be available in a future update.",語言、外觀與偏好設定將在後續版本中提供。,语言、外观与偏好设置将在后续版本中提供。,言語、外観、環境設定は今後のアップデートで利用可能になります。,"언어, 화면 스타일 및 환경 설정은 향후 업데이트에서 지원될 예정입니다.","Sprache, Erscheinungsbild und Einstellungen werden in einem zukünftigen Update verfügbar sein.","La langue, l'apparence et les préférences seront disponibles dans une prochaine mise à jour.","El idioma, la apariencia y las preferencias estarán disponibles en una próxima actualización.","Lingua, aspetto e preferenze saranno disponibili in un prossimo aggiornamento.","Taal, weergave en voorkeuren komen beschikbaar in een toekomstige update.","O idioma, a aparência e as preferências estarão disponíveis numa atualização futura.","Η γλώσσα, η εμφάνιση και οι προτιμήσεις θα είναι διαθέσιμες σε μελλοντική ενημέρωση.","Jezik, izgled i postavke bit će dostupni u budućem ažuriranju.","Bahasa, tampilan, dan preferensi akan tersedia dalam pembaruan mendatang.","Bahasa, penampilan dan keutamaan akan tersedia dalam kemas kini masa hadapan.",ภาษา รูปลักษณ์ และการตั้งค่าจะพร้อมใช้งานในการอัปเดตในอนาคต.,"Ngôn ngữ, giao diện và tùy chọn sẽ khả dụng trong bản cập nhật tương lai."
Location,"Dive detail section / field label｜出現於：DiveLog.swift, DiveLogDetailView.swift, DiveLogEditSheet.swift, DiveMapRepresentable.swift, 等共 12 個檔案",Location,Location,地點,地点,場所,위치,Ort,Lieu,Ubicación,Posizione,Locatie,Localização,Τοποθεσία,Lokacija,Lokasi,Lokasi,สถานที่,Địa điểm
Location Access Denied,"出現於：MapView.swift, SettingsView.swift（無額外註解，請對照原始碼判斷情境）",Location Access Denied,Location Access Denied,定位權限被拒絕,定位权限被拒绝,位置情報へのアクセスが拒否されました,위치 액세스가 거부됨,Standortzugriff verweigert,Accès à la position refusé,Acceso a la ubicación denegado,Accesso alla posizione negato,Locatietoegang geweigerd,Acesso à localização negado,Η πρόσβαση τοποθεσίας απορρίφθηκε,Pristup lokaciji odbijen,Akses Lokasi Ditolak,Akses Lokasi Ditolak,การเข้าถึงตำแหน่งถูกปฏิเสธ,Truy cập vị trí bị từ chối
Location data stays on your device and is only requested while enabled.,出現於：SettingsView.swift（無額外註解，請對照原始碼判斷情境）,Location data stays on your device and is only requested while enabled.,Location data stays on your device and is only requested while enabled.,位置資料只會保留在您的裝置上，且僅在啟用時才會請求。,位置数据只保留在您的装置上，且仅在启用时才会请求。,位置情報データは端末内に保存され、有効化している間のみ取得されます。,"위치 데이터는 기기에만 저장되며, 활성화된 동안에만 요청됩니다.",Standortdaten verbleiben auf deinem Gerät und werden nur bei Aktivierung angefragt.,Les données de localisation restent sur votre appareil et ne sont demandées que lorsque l'option est activée.,Los datos de ubicación permanecen en tu dispositivo y solo se solicitan mientras está activado.,I dati sulla posizione restano sul tuo dispositivo e vengono richiesti solo quando è attivo.,Locatiegegevens blijven op je apparaat en worden alleen opgevraagd wanneer dit is ingeschakeld.,Os dados de localização permanecem no seu dispositivo e só são pedidos enquanto estiver ativado.,Τα δεδομένα τοποθεσίας παραμένουν στη συσκευή σας και ζητούνται μόνο όταν είναι ενεργοποιημένα.,Podaci o lokaciji ostaju na vašem uređaju i traže se samo dok je opcija omogućena.,Data lokasi tetap di perangkat Anda dan hanya diminta saat diaktifkan.,Data lokasi kekal pada peranti anda dan hanya diminta semasa didayakan.,ข้อมูลตำแหน่งจะถูกเก็บไว้ในอุปกรณ์ของคุณเท่านั้น และจะถูกร้องขอเฉพาะเมื่อเปิดใช้งาน,Dữ liệu vị trí được lưu trên thiết bị của bạn và chỉ được yêu cầu khi tính năng này được bật.
Logbook,"Tab bar label｜出現於：AdBannerView.swift, AppLanguageManager.swift, Color+Platform.swift, DiveAnalysisView.swift, 等共 31 個檔案",Logbook,Logbook,日誌,日志,ログ,로그북,Logbuch,Carnet,Diario,Giornale,Logboek,Diário,Ημερολόγιο,Logbook,Logbook,Log,สมุดบันทึก,Nhật ký
Mandatory Safety Stop,出現於：DiveAnalysisView.swift（無額外註解，請對照原始碼判斷情境）,Mandatory Safety Stop,Mandatory Safety Stop,強制安全停留點,强制安全停留点,強制セーフティストップ,필수 안전 정지,Obligatorischer Sicherheitsstopp,Palier de sécurité obligatoire,Parada de seguridad obligatoria,Sosta di sicurezza obbligatoria,Verplichte veiligheidsstop,Paragem de segurança obrigatória,Υποχρεωτική Στάση Ασφαλείας,Obavezno sigurnosno zaustavljanje,Safety Stop Wajib,Safety Stop Wajib,การหยุดพักเพื่อความปลอดภัยภาคบังคับ,Dừng an toàn bắt buộc
Manual Entry,"Source format label for manually created dive logs｜出現於：DiveLogDetailView.swift, DiveSiteSheetView.swift",Manual Entry,Manual Entry,手動建立,手动创建,手動入力,수동 입력,Manuelle Eingabe,Saisie manuelle,Entrada manual,Inserimento manuale,Handmatige invoer,Entrada manual,Μη αυτόματη καταχώριση,Ručni unos,Entri Manual,Kemasukan Manual,กรอกข้อมูลเอง,Nhập thủ công
Map,"Tab bar label and map view title｜出現於：AdBannerView.swift, DiveCalendarView.swift, DiveMapRepresentable.swift, DiveSiteAnnotation.swift, 等共 10 個檔案",Map,Map,地圖,地图,マップ,지도,Karte,Carte,Mapa,Mappa,Kaart,Mapa,Χάρτης,Karta,Peta,Peta,แผนที่,Bản đồ
Map view coming soon,Map placeholder title,Map view coming soon,Map view coming soon,地圖檢視即將推出,地图视图即将推出,マップビューは近日公開予定,지도 뷰 곧 출시 예정,Kartenansicht demnächst verfügbar,Vue carte bientôt disponible,Vista de mapa próximamente,Mappa in arrivo,Kaartweergave binnenkort beschikbaar,Vista de mapa em breve,Η προβολή χάρτη έρχεται σύντομα,Prikaz karte stiže uskoro,Tampilan peta segera hadir,Paparan peta akan datang,มุมมองแผนที่เร็ว ๆ นี้,Giao diện bản đồ sắp ra mắt
Max Ceiling,⚠️ 原始碼查無直接引用（可能組字串/動態組合，翻譯時請小心）,Max Ceiling,Max Ceiling,最深減壓天花板,最深减压天花板,最大シーリング,최대 실링,Maximale Decotiefe,Plafond Maximum,Techo Máximo,Ceiling Massimo,Maximale Ceiling,Teto Máximo,Μέγιστη Οροφή,Maksimalni Strop,Kedalaman plafon dekompresi maksimum,Kedalaman siling dekompresi maksimum,ระดับเพดานลดความดันลึกสุด,Trần Sâu Nhất
Max Depth,"Dive detail field label｜出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift, DiveSiteSheetView.swift",Max Depth,Max Depth,最大深度,最大深度,最大水深,최대 깊이,Maximale Tiefe,Profondeur max,Profundidad máx.,Profondità max,Max. diepte,Profundidade máx.,Μέγιστο βάθος,Maks. dubina,Kedalaman Maks.,Kedalaman Maks.,ความลึกสูงสุด,Độ sâu tối đa
Max Depth: %.1f metres,Accessibility label,Max Depth: %.1f m,Max Depth: %.1f m,最大深度：%.1f m,最大深度：%.1f m,最大水深：%.1f m,최대 깊이: %.1f미터,Maximale Tiefe: %.1f m,Profondeur max : %.1f m,Profundidad máx.: %.1f m,Profondità max: %.1f m,Max. diepte: %.1f m,Profundidade máx.: %.1f m,Μέγιστο βάθος: %.1f μέτρα,Maks. dubina: %.1f m,Kedalaman Maksimum: %.1f m,Kedalaman Maks: %.1f m,ความลึกสูงสุด: %.1f เมตร,Độ sâu tối đa: %.1f mét
Max Depth: %@,Accessibility label｜出現於：DiveLogEditSheet.swift,Max Depth: %@,Max Depth: %@,最大深度：%@,最大深度：%@,最大水深：%@,최대 수심: %@,Max. Tiefe: %@,Profondeur max. : %@,Profundidad máx.: %@,Profondità max: %@,Max. diepte: %@,Profundidade máx.: %@,Μέγιστο βάθος: %@,Maks. dubina: %@,Kedalaman Maks: %@,Kedalaman Maks: %@,ความลึกสูงสุด: %@,Độ sâu tối đa: %@
Min Depth,⚠️ 原始碼查無直接引用（可能組字串/動態組合，翻譯時請小心）,Min Depth,Min Depth,最小深度,最小深度,最小深度,최소 깊이,Minimale Tiefe,Profondeur minimale,Profundidad mínima,Profondità minima,Minimale diepte,Profundidade mínima,Ελάχιστο βάθος,Minimalna dubina,Kedalaman minimum,Kedalaman minimum,ความลึกต่ำสุด,Độ sâu tối thiểu
Min NDL,⚠️ 原始碼查無直接引用（可能組字串/動態組合，翻譯時請小心）,Min NDL,Min NDL,最短免減壓時間,最短免减压时间,最小 NDL,최소 NDL,Min. NDL,NDL Minimum,NDL Mínimo,NDL Minimo,Min. NDL,NDL Mínimo,Ελάχιστο NDL,Min. NDL,NDL Minimum,NDL Minimum,NDL ต่ำสุด,NDL Thấp Nhất
Moderate,"出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）",Moderate,Moderate,中等,中等,中程度,중간,Mäßig,Modéré,Moderado,Moderato,Matig,Moderado,Μέτρια,Umjereno,Sedang,Sedang,ปานกลาง,Vừa phải
Month,"出現於：DiveCalendarView.swift, DiveRowView.swift（無額外註解，請對照原始碼判斷情境）",Month,Month,月,月,月,월,Monat,Mois,Mes,Mese,Monat,Mês,Μήνας,Mjesec,Bulan,Bulan,เดือน,Tháng
New Dive,"Title for new dive sheet｜出現於：DiveLogEditSheet.swift, LogbookContainerView.swift, MainTabView.swift",New Dive,New Dive,新增潛水,新增潜水,新しいダイビング,새 다이빙,Neuer Tauchgang,Nouvelle plongée,Nueva inmersión,Nuova immersione,Nieuwe duik,Novo mergulho,Νέα κατάδυση,Novi uron,Penyelaman Baru,Selam Baru,ไดฟ์ใหม่,Chuyến lặn mới
Next month,A button that shows the next month.｜出現於：DiveCalendarView.swift,Next month,Next month,下個月,下个月,来月,다음 달,Nächster Monat,Mois suivant,Mes siguiente,Mese successivo,Volgende maand,Mês seguinte,Επόμενος μήνας,Sljedeći mjesec,Bulan depan,Bulan depan,เดือนถัดไป,Tháng sau
Next year,A button that jumps to the next year.｜出現於：DiveCalendarView.swift,Next year,Next year,下一年,下一年,翌年,내년,Nächstes Jahr,Année suivante,Año siguiente,Anno successivo,Volgend jaar,Ano seguinte,Επόμενο έτος,Sljedeća godina,Tahun depan,Tahun depan,ปีหน้า,Năm sau
Nitrox,"Gas type: nitrox｜出現於：DiveLogEditSheet.swift, GasMixTests.swift, MockDataSeeder.swift",Nitrox,Nitrox,高氧,高氧,ナイトロックス,나이트록스,Nitrox,Nitrox,Nitrox,Nitrox,Nitrox,Nitrox,Nitrox,Nitrox,Nitrox,Nitrox,ไนตรอกซ์,Nitrox
Nitrox O2: %d percent,Accessibility label｜出現於：DiveLogEditSheet.swift,Nitrox O₂: %d%%,Nitrox O₂: %d%%,高氧空氣 O₂：%d%%,高氧空气 O₂：%d%%,ナイトロックス O₂：%dパーセント,나이트록스 O₂: %d퍼센트,Nitrox O₂: %d%%,Nitrox O₂ : %d%%,Nitrox O₂: %d%%,Nitrox O₂: %d%%,Nitrox O₂: %d%%,Nitrox O₂: %d%%,Nitrox O₂: %d%%,Nitrox O₂: %d%%,Nitrox O₂: %d%%,Nitrox O₂: %d%%,ไนตรอกซ์ O₂: %d เปอร์เซ็นต์,Nitrox O₂: %d%%
No,"出現於：DiveAnalysisView.swift, DiveCalendarView.swift, DiveImportKitAdapter.swift, DiveImportKitAdapterTests.swift, 等共 20 個檔案（無額外註解，請對照原始碼判斷情境）",No,No,否,否,いいえ,아니요,Nein,Non,No,No,Nee,Não,Όχι,Ne,Tidak,Tidak,ไม่ใช่,Không
No Deco,出現於：DiveAnalysisView.swift（無額外註解，請對照原始碼判斷情境）,No Deco,No Deco,免減壓,免减压,無減圧,무감압,Nullzeit,Sans palier,Sin deco,No-deco,Nultijd,Sem deco,NDL,NDL,NDL,NDL,NDL,NDL
No Dive Selected,A label that describes the state when no dive is selected.｜出現於：MainTabView.swift,No Dive Selected,No Dive Selected,未選取潛水日誌,未选取潜水日志,ダイビングが選択されていません,선택된 다이빙 없음,Kein Tauchgang ausgewählt,Aucune plongée sélectionnée,Ninguna inmersión seleccionada,Nessuna immersione selezionata,Geen duik geselecteerd,Nenhum mergulho selecionado,Δεν επιλέχθηκε κατάδυση,Nije odabran uron,Tidak ada penyelaman yang dipilih,Tiada Selam Dipilih,ไม่ได้เลือกไดฟ์,Chưa chọn chuyến lặn
No GPS Dive Sites,Map empty state title — shown when no dives have GPS coordinates｜出現於：MapView.swift,No GPS Dive Sites,No GPS Dive Sites,無 GPS 潛點,无 GPS 潜点,GPSなしのダイビングポイント,GPS 다이빙 사이트 없음,Keine GPS-Tauchplätze,Aucun site de plongée GPS,Sin puntos de inmersión GPS,Nessun punto di immersione GPS,Geen GPS-duiklocaties,Sem locais de mergulho GPS,Χωρίς τοποθεσίες κατάδυσης GPS,Nema ronilačkih lokacija s GPS-om,Tidak Ada Lokasi Penyelaman GPS,Tiada Tapak Selam GPS,ไม่มีจุดดำน้ำ GPS,Không có địa điểm lặn GPS
No dives on this date.,Calendar empty state when date has no dives｜出現於：DiveCalendarView.swift,No dives on this date.,No dives on this date.,這一天沒有潛水記錄。,此日期没有潜水记录。,この日のダイビングはありません。,이 날짜에 다이빙이 없습니다.,Keine Tauchgänge an diesem Datum.,Aucune plongée à cette date.,No hay inmersiones en esta fecha.,Nessuna immersione in questa data.,Geen duiken op deze datum.,Sem mergulhos nesta data.,Χωρίς καταδύσεις αυτή την ημερομηνία.,Nema urona na ovaj datum.,Tidak ada penyelaman pada tanggal ini.,Tiada selam pada tarikh ini.,ไม่มีไดฟ์ในวันนี้,Không có chuyến lặn vào ngày này.
No dives yet,"Empty logbook state title｜出現於：DiveLogListView.swift, MainTabView.swift",No dives yet,No dives yet,尚無潛水記錄,暂无潜水记录,ダイビングがまだありません,아직 다이빙이 없습니다,Noch keine Tauchgänge,Aucune plongée pour le moment,Aún no hay inmersiones,Ancora nessuna immersione,Nog geen duiken,Ainda sem mergulhos,Δεν υπάρχουν ακόμη καταδύσεις,Još nema urona,Belum ada penyelaman,Tiada selam lagi,ยังไม่มีไดฟ์,Chưa có chuyến lặn nào
No file selected,Import wizard: no file chosen yet,No file selected,No file selected,未選擇檔案,未选择文件,ファイルが選択されていません,선택된 파일 없음,Keine Datei ausgewählt,Aucun fichier sélectionné,Ningún archivo seleccionado,Nessun file selezionato,Geen bestand geselecteerd,Nenhum ficheiro selecionado,Δεν επιλέχθηκε αρχείο,Nije odabrana datoteka,Tidak ada file yang dipilih,Tiada fail dipilih,ไม่ได้เลือกไฟล์,Chưa chọn tệp
No notes recorded.,"Empty state for notes field｜出現於：DiveLogDetailView.swift, DiveSiteSheetView.swift",No notes recorded.,No notes recorded.,未填寫備註。,未填写备注。,メモが記録されていません。,기록된 메모가 없습니다.,Keine Notizen erfasst.,Aucune note enregistrée.,Sin notas registradas.,Nessuna nota registrata.,Geen notities geregistreerd.,Sem notas registadas.,Δεν καταγράφηκαν σημειώσεις.,Nema zabilježenih napomena.,Tidak ada catatan yang direkam.,Tiada nota direkodkan.,ไม่มีการบันทึกบันทึกย่อ,Không có ghi chú nào được ghi lại.
No previous purchase found.,Alert message｜出現於：SettingsView.swift,No previous purchase found.,No previous purchase found.,未找到先前的購買記錄。,未找到先前的购买记录。,以前の購入履歴が見つかりません。,이전 구매 내역을 찾을 수 없습니다.,Keine vorherigen Käufe gefunden.,Aucun achat antérieur trouvé.,No se encontró ninguna compra anterior.,Nessun acquisto precedente trovato.,Geen eerdere aankoop gevonden.,Nenhum histórico de compra encontrado.,Δεν βρέθηκε προηγούμενη αγορά.,Nije pronađena prethodna kupnja.,Tidak ada pembelian sebelumnya ditemukan.,Tiada pembelian terdahulu ditemui.,ไม่พบประวัติการซื้อก่อนหน้า,Không tìm thấy giao dịch mua trước đó.
,"出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）",,,無,无,なし,없음,Keine,Aucun,Ninguno,Nessuno,Geen,Nenhum,Κανένα,Nema,Tidak ada,Tidak ada,ไม่มี,Không có
Not Recorded,出現於：DiveLogEditSheet.swift（無額外註解，請對照原始碼判斷情境）,Not Recorded,Not Recorded,未記錄,未记录,未記録,기록 없음,Nicht erfasst,Non enregistré,No registrado,Non registrato,Niet geregistreerd,Não registado,Δεν καταγράφηκε,Nije zabilježeno,Tidak Tercatat,Tidak Direkodkan,ไม่ได้บันทึก,Không ghi nhận
Notes,"Dive detail section / field label｜出現於：DiveLogDetailView.swift, DiveLogEditSheet.swift, DiveSiteSheetView.swift, MockDataSeeder.swift",Notes,Notes,備註,备注,メモ,메모,Notizen,Notes,Notas,Note,Notities,Notas,Σημειώσεις,Napomene,Catatan,Nota,บันทึกย่อ,Ghi chú
OK,"Alert dismiss button｜出現於：Extensions.swift, SettingsView.swift",OK,OK,確定,确定,OK,확인,OK,OK,Aceptar,OK,OK,OK,OK,U redu,OK,OK,ตกลง,OK
One-time purchase — no subscription.,Sheet subtitle｜出現於：SettingsView.swift,One-time purchase — no subscription.,One-time purchase — no subscription.,一次性購買，無需訂閱。,一次性购买，无需订阅。,一回限りの購入 — サブスクリプションなし,일회성 구매 — 구독 없음,Einmaliger Kauf — kein Abonnement,Achat unique — sans abonnement,Compra única — sin suscripción,Acquisto una tantum — nessun abbonamento,Eenmalige aankoop — geen abonnement,Compra única — sem subscrição,Αγορά μία φορά — χωρίς συνδρομή,Jednokratna kupnja — bez pretplate,Pembelian sekali — tanpa langganan,Pembelian sekali sahaja — tiada langganan,ซื้อครั้งเดียว — ไม่มีระบบสมาชิก,Mua một lần — không cần đăng ký
One-time purchase. No subscription.,Section footer｜出現於：SettingsView.swift,One-time purchase. No subscription.,One-time purchase. No subscription.,一次性購買。無需訂閱。,一次性购买。无需订阅。,一回限りの購入。サブスクリプションなし。,일회성 구매. 구독 없음.,Einmaliger Kauf. Kein Abonnement.,Achat unique. Sans abonnement.,Compra única. Sin suscripción.,Acquisto una tantum. Nessun abbonamento.,Eenmalige aankoop. Geen abonnement.,Compra única. Sem subscrição.,Αγορά μία φορά. Χωρίς συνδρομή.,Jednokratna kupnja. Bez pretplate.,Pembelian sekali. Tanpa langganan.,Pembelian sekali sahaja. Tiada langganan.,ซื้อครั้งเดียว ไม่มีระบบสมาชิก,Mua một lần. Không cần đăng ký.
"One-time purchase. No subscription.
Remove all ads.",⚠️ 原始碼查無直接引用（可能組字串/動態組合，翻譯時請小心）,"One-time purchase. No subscription.
Remove all ads.","One-time purchase. No subscription.
Remove all ads.","一次性購買，無需訂閱。
移除所有廣告。","一次性购买，无需订阅。
移除所有广告。","買い切り型。サブスクリプションなし。
すべての広告を非表示。","일회성 구매. 구독 없음.
모든 광고 제거.","Einmaliger Kauf. Kein Abo.
Alle Werbung entfernen.","Achat unique. Sans abonnement.
Supprimer toutes les pubs.","Compra única. Sin suscripción.
Eliminar todos los anuncios.","Acquisto unico. Nessun abbonamento.
Rimuovi tutti gli annunci.","Eenmalige aankoop. Geen abonnement.
Verwijder alle advertenties.","Compra única. Sem subscrição.
Remover todos os anúncios.","Εφάπαξ αγορά. Χωρίς συνδρομή.
Κατάργηση όλων των διαφημίσεων.","Jednokratna kupnja. Bez pretplate.
Ukloni sve oglase.","Pembelian sekali. Tanpa langganan.
Hapus semua iklan.","Pembelian sekali sahaja. Tiada langganan.
Buang semua iklan.","ซื้อครั้งเดียว ไม่มีสมัครสมาชิก
ลบโฆษณาออกทั้งหมด","Mua một lần. Không đăng ký.
Xóa toàn bộ quảng cáo."
One-time purchase. No subscription.\nUnlock Premium to backup and export all your dives.,Auto generated key: One-time purchase. No subscription.\nUnlock Premium to backup and export all your dives.,One-time purchase. No subscription.\nUnlock Premium to backup and export all your dives.,One-time purchase. No subscription.\nUnlock Premium to backup and export all your dives.,"一次性購買，無需訂閱。
解鎖進階版即可備份並匯出所有潛水記錄。","一次性购买，无需订阅。
解锁专业版即可备份并导出所有潜水记录。",一回限りの購入。サブスクリプションなし。\nすべてのダイビングをバックアップおよび書き出すには、プレミアムのロックを解除してください。,일회성 구매. 구독 없음.\n모든 다이빙을 백업하고 내보내려면 프리미엄을 잠금 해제하세요.,"Einmaliger Kauf. Kein Abonnement.\nSchalten Sie Premium frei, um alle Ihre Tauchgänge zu sichern und zu exportieren.",Achat unique. Sans abonnement.\nDéverrouillez le Premium pour sauvegarder et exporter toutes vos plongées.,Compra única. Sin suscripción.\nDesbloquea Premium para respaldar y exportar todas tus inmersiones.,Acquisto una tantum. Nessun abbonamento.\nSblocca Premium per eseguire il backup ed esportare tutte le tue immersioni.,Eenmalige aankoop. Geen abonnement.\nOntgrendel Premium om al je duiken te back-uppen en te exporteren.,Compra única. Sem subscrição.\nDesbloqueie o Premium para salvaguardar e exportar todos os seus mergulhos.,Αγορά μία φορά. Χωρίς συνδρομή.\nΞεκλειδώστε το Premium για να δημιουργήσετε αντίγραφα ασφαλείας και να εξαγάγετε όλες τις καταδύσεις σας.,Jednokratna kupnja. Bez pretplate.\nOtključajte Premium za sigurnosnu kopiju i izvoz svih svojih urona.,Pembelian sekali. Tanpa langganan.\nBuka kunci Premium untuk mencadangkan dan mengeksport semua penyelaman Anda.,Pembelian sekali sahaja. Tiada langganan.\nBuka kunci Premium untuk menyandar dan mengeksport semua selam anda.,ซื้อครั้งเดียว ไม่มีระบบสมาชิก\nปลดล็อกพรีเมียมเพื่อสำรองข้อมูลและส่งออกไดฟ์ทั้งหมดของคุณ,Mua một lần. Không cần đăng ký.\nMở khóa Premium để sao lưu và xuất tất cả các chuyến lặn của bạn.
Open Source Licenses,Navigation link label｜出現於：SettingsView.swift,Open Source Licenses,Open Source Licenses,開源授權,开源授权,オープンソースライセンス,오픈 소스 라이선스,Open-Source-Lizenzen,Licences open source,Licencias de código abierto,Licenze open source,Opensource-licenties,Licenças de código aberto,Άδειες ανοιχτού κώδικα,Licence otvorenog izvornog koda,Lisensi Open Source,Lesen Sumber Terbuka,ใบอนุญาตโอเพนซอร์ส,Giấy phép nguồn mở
Opens file picker to choose a dive log file,A hint for the file picker button.,Opens file picker to choose a dive log file,Opens file picker to choose a dive log file,開啟檔案選取器以選擇潛水日誌檔案,打开文件选择器以选择潜水日志文件,ファイルピッカーを開いてダイビングログファイルを選択します,파일 선택기를 열어 다이빙 로그 파일을 선택합니다,"Öffnet die Dateiauswahl, um eine Taucherlogbuch-Datei auszuwählen",Ouvre le sélecteur de fichiers pour choisir un carnet de plongée,Abre el selector de archivos para elegir un diario de inmersiones,Apre il selettore di file per scegliere un giornale di immersione,Opent de bestandskiezer om een duiklogboekbestand te kiezen,Abre o seletor de ficheiros para escolher um ficheiro de diário de mergulhos,Ανοίγει τον επιλογέα αρχείων για την επιλογή αρχείου καταγραφής κατάδυσης,Otvara alat za odabir datoteka za odabir ronilačkog logbooka,Membuka pemilih file untuk memilih file logbook penyelaman,Membuka pemilih fail untuk memilih fail log selam,เปิดตัวเลือกไฟล์เพื่อเลือกไฟล์บันทึกการดำน้ำ,Mở trình chọn tệp để chọn tệp nhật ký lặn
Opens file picker to choose dive log files or a folder,A hint for the file picker button.｜出現於：ImportWizardView.swift,Opens file picker to choose dive log files or a folder,Opens file picker to choose dive log files or a folder,開啟檔案選取器以選取潛水日誌檔案或資料夾,打开文件选择器以选取潜水日志文件或文件夹,ファイルピッカーを開いてダイビングログファイルまたはフォルダを選択します,파일 선택기를 열어 다이빙 로그 파일 또는 폴더를 선택합니다,"Öffnet die Dateiauswahl, um Tauchprotokolldateien oder einen Ordner auszuwählen",Ouvre le sélecteur de fichiers pour choisir des carnets de plongée ou un dossier,Abre el selector de archivos para elegir archivos de registro de inmersión o una carpeta,Apre il selettore di file per scegliere i file di registro di immersione o una cartella,Opent de bestandskiezer om duiklogbestanden of een map te kiezen,Abre o seletor de ficheiros para escolher ficheiros de diário de mergulhos ou uma pasta,Ανοίγει τον επιλογέα αρχείων για να επιλέξετε αρχεία καταγραφής κατάδυσης ή φάκελο,Otvara alat za odabir datoteka za odabir datoteka dnevnika urona ili mape,Membuka pemilih file untuk memilih file log penyelaman atau folder,Membuka pemilih fail untuk memilih fail log selam atau folder,เปิดตัวเลือกไฟล์เพื่อเลือกไฟล์บันทึกการดำน้ำหรือโฟลเดอร์,Mở trình chọn tệp để chọn tệp nhật ký lặn hoặc thư mục
Other Brands,出現於：ImportWizardView.swift（無額外註解，請對照原始碼判斷情境）,Other Brands,Other Brands,其他品牌,其他品牌,その他のブランド,기타 브랜드,Andere Marken,Autres marques,Otras marcas,Altri marchi,Andere merken,Outras marcas,Άλλες μάρκες,Ostale marke,Merek Lain,Jenama Lain,แบรนด์อื่น ๆ,Thương hiệu khác
Outgoing,⚠️ 原始碼查無直接引用（可能組字串/動態組合，翻譯時請小心）,Outgoing,Outgoing,退潮,退潮,下げ潮,썰물,Ebbe,Descendante,Marea vaciante,Marea calante,Eb,Vazante,Αμπώτιδα,Oseka,Surut,Surut,น้ำลง,Triều xuống
O₂,A label for the percentage of oxygen in a nitrox tank.｜出現於：DiveLogEditSheet.swift,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂,O₂
